id	name	canonical_uuid	canonical	surrogate
000075c0-f13c-52f6-a0e6-8e30f8452ea9	Trichrous bicolor Lacordaire 1869	ec72029d-29a8-5222-a414-04bc55174b5f	Trichrous bicolor	false
000075ee-84ff-5a99-b2ed-c43d63065c79	Passaliolla Balthasar 1940	82c4d2da-1901-59c2-b223-4b40ea89486a	Passaliolla	false
00007682-3fe3-5284-b4b6-8fced31dbc60	Ascophanus nitidus Speg. 1878	c264c9ae-817f-5373-98d4-88424b4578f3	Ascophanus nitidus	false
000077ac-14b0-5ad0-aff8-bd7d09fb336c	Aporum rhombopetalum	000077ac-14b0-5ad0-aff8-bd7d09fb336c	Aporum rhombopetalum	false
000078e1-4ca8-5cd4-b4c4-f3a682b9d0a9	Tomicobia acrotatus	000078e1-4ca8-5cd4-b4c4-f3a682b9d0a9	Tomicobia acrotatus	false
0000790f-ebd5-5dc8-99d1-376df9ec4f30	Neocompsa glaphyra Monné & Hovore, 2006	89a50ff8-7e49-5eab-bd30-830aa4f70d6e	Neocompsa glaphyra	false
00007919-1bf1-54b9-bbe8-a0e7eeba71fc	uncultured archaeon ACA1-9cm	a9456e61-bd30-53bc-8588-accb913cc64a
000079b9-b042-57c7-8bbe-05cbd6eee0f0	Siphovasum Rehder & Abbott 1951	40cb085b-3f0f-5fe0-ba02-517342b44eb2	Siphovasum	false
00007c18-2bd3-5ba0-b9ee-0b67eda2f43d	Enterobius (Colobenterobius) zakiri Siddiqi & Mirza 1954	2af5ddf3-b970-5884-acbb-c2f3962962f1	Enterobius zakiri	false
00007d1a-0e6a-5ce8-af19-6aea261b4bb8	Cladophora columbiana	00007d1a-0e6a-5ce8-af19-6aea261b4bb8	Cladophora columbiana	false
